direction_name,direction_id,trip_id,trip_headsign,service_id,route_id,wheelchair_accessible,block_id,shape_id
Southbound,1,2795__261024_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261024_Timetable_-_2026-04,100.0.1938513582_Timetable_-_2026-04
Southbound,1,2796__261020_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261020_Timetable_-_2026-04,100.0.1938513582_Timetable_-_2026-04
Southbound,1,2797__261032_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261032_Timetable_-_2026-04,100.0.1938513582_Timetable_-_2026-04
Southbound,1,2798__261008_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261008_Timetable_-_2026-04,100.0.1938513582_Timetable_-_2026-04
Southbound,1,2799__261024_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261024_Timetable_-_2026-04,100.0.1938513582_Timetable_-_2026-04
Southbound,1,279__401047_Timetable_-_2026-04,Oshawa Centre Terminal,Weekday_merged_943985,423,1,a_401047_Timetable_-_2026-04,100.0.1672883332_Timetable_-_2026-04
Northbound,0,27__401029_Timetable_-_2026-04,Oshawa Centre Terminal,Weekday_merged_943985,403,1,a_401029_Timetable_-_2026-04,100.0.1046829277_Timetable_-_2026-04
Southbound,1,2800__261035_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261035_Timetable_-_2026-04,100.0.1938513582_Timetable_-_2026-04
Southbound,1,2801__261032_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261032_Timetable_-_2026-04,100.0.1938513582_Timetable_-_2026-04
Southbound,1,2802__261024_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261024_Timetable_-_2026-04,100.0.1938513582_Timetable_-_2026-04
Southbound,1,2803__261016_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261016_Timetable_-_2026-04,100.0.2308895115_Timetable_-_2026-04
Southbound,1,2804__261019_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261019_Timetable_-_2026-04,100.0.2308895115_Timetable_-_2026-04
Southbound,1,2805__261026_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261026_Timetable_-_2026-04,100.0.2308895115_Timetable_-_2026-04
Southbound,1,2806__261022_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261022_Timetable_-_2026-04,100.0.2308895115_Timetable_-_2026-04
Southbound,1,2807__261016_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261016_Timetable_-_2026-04,100.0.2308895115_Timetable_-_2026-04
Southbound,1,2808__261019_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261019_Timetable_-_2026-04,100.0.2308895115_Timetable_-_2026-04
Southbound,1,2809__261026_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261026_Timetable_-_2026-04,100.0.2308895115_Timetable_-_2026-04
Southbound,1,280__401016_Timetable_-_2026-04,Oshawa Centre Terminal,Weekday_merged_943985,423,1,a_401016_Timetable_-_2026-04,100.0.1672883332_Timetable_-_2026-04
Southbound,1,2810__261022_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261022_Timetable_-_2026-04,100.0.2308895115_Timetable_-_2026-04
Southbound,1,2811__261016_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261016_Timetable_-_2026-04,100.0.2308895115_Timetable_-_2026-04
Southbound,1,2812__261019_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261019_Timetable_-_2026-04,100.0.2308895115_Timetable_-_2026-04
Southbound,1,2813__261019_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261019_Timetable_-_2026-04,100.0.2308895115_Timetable_-_2026-04
Southbound,1,2814__261026_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261026_Timetable_-_2026-04,100.0.2308895115_Timetable_-_2026-04
Southbound,1,2815__261022_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261022_Timetable_-_2026-04,100.0.2308895115_Timetable_-_2026-04
Southbound,1,2816__261016_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261016_Timetable_-_2026-04,100.0.2308895115_Timetable_-_2026-04
Southbound,1,2817__261019_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261019_Timetable_-_2026-04,100.0.2308895115_Timetable_-_2026-04
Southbound,1,2818__261026_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261026_Timetable_-_2026-04,100.0.2308895115_Timetable_-_2026-04
Southbound,1,2819__261026_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261026_Timetable_-_2026-04,100.0.2308895115_Timetable_-_2026-04
Southbound,1,281__401037_Timetable_-_2026-04,Oshawa Centre Terminal,Weekday_merged_943985,423,1,a_401037_Timetable_-_2026-04,100.0.1672883332_Timetable_-_2026-04
Southbound,1,2820__261022_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261022_Timetable_-_2026-04,100.0.2308895115_Timetable_-_2026-04
Southbound,1,2821__261016_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261016_Timetable_-_2026-04,100.0.2308895115_Timetable_-_2026-04
Southbound,1,2822__261019_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261019_Timetable_-_2026-04,100.0.2308895115_Timetable_-_2026-04
Southbound,1,2823__261026_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261026_Timetable_-_2026-04,100.0.2308895115_Timetable_-_2026-04
Southbound,1,2824__261022_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261022_Timetable_-_2026-04,100.0.2308895115_Timetable_-_2026-04
Southbound,1,2825__261016_Timetable_-_2026-04,Whitby Station,SatSun_merged_943984,905,1,a_261016_Timetable_-_2026-04,100.0.2308895115_Timetable_-_2026-04
Westbound,1,2826__261023_Timetable_-_2026-04,B - West Shore,SatSun_merged_943984,121,1,a_261023_Timetable_-_2026-04,100.0.2162219573_Timetable_-_2026-04
Westbound,1,2827__261029_Timetable_-_2026-04,B - West Shore,SatSun_merged_943984,121,1,a_261029_Timetable_-_2026-04,100.0.2162219573_Timetable_-_2026-04
Westbound,1,2828__261031_Timetable_-_2026-04,B - West Shore,SatSun_merged_943984,121,1,a_261031_Timetable_-_2026-04,100.0.2162219573_Timetable_-_2026-04
Westbound,1,2829__261006_Timetable_-_2026-04,B - West Shore,SatSun_merged_943984,121,1,a_261006_Timetable_-_2026-04,100.0.2162219573_Timetable_-_2026-04
Southbound,1,282__401051_Timetable_-_2026-04,Oshawa Centre Terminal,Weekday_merged_943985,423,1,a_401051_Timetable_-_2026-04,100.0.1672883332_Timetable_-_2026-04
Westbound,1,2830__261009_Timetable_-_2026-04,B - West Shore,SatSun_merged_943984,121,1,a_261009_Timetable_-_2026-04,100.0.2162219573_Timetable_-_2026-04
Westbound,1,2831__261028_Timetable_-_2026-04,B - West Shore,SatSun_merged_943984,121,1,a_261028_Timetable_-_2026-04,100.0.2162219573_Timetable_-_2026-04
Westbound,1,2832__261011_Timetable_-_2026-04,B - West Shore,SatSun_merged_943984,121,1,a_261011_Timetable_-_2026-04,100.0.2162219573_Timetable_-_2026-04
Westbound,1,2833__261033_Timetable_-_2026-04,B - West Shore,SatSun_merged_943984,121,1,a_261033_Timetable_-_2026-04,100.0.2162219573_Timetable_-_2026-04
