stop_code,stop_id,parent_station,preferred,stop_lat,stop_timezone,stop_name,stop_url,wheelchair_boarding,stop_desc,location_type,stop_lon,zone_id
94002,94002,,2,43.78017420754376,,Progress Eastbound @ Bellamy,,1,,0,-79.24343282725708,
94006,94006,,2,43.781933,,Progress Eastbound @ Markham Road,,1,,0,-79.233259,
94007,94007,,2,43.783526,,Progress Northbound @ Centennial College,,1,,0,-79.231618,
94009,94009,,2,43.789947,,Progress Northbound @ Milner Avenue,,1,,0,-79.23394999999998,
94029,94029,,2,43.80845909723183,,Sheppard Eastbound @ Meadowvale,,1,,0,-79.16992219791265,
94037,94037,,2,43.913854,,Trulls Northbound @ Nash,,1,,0,-78.789545,
94038,94038,,2,43.917206,,Trulls Northbound @ Cecil Found,,1,,0,-78.790964,
94039,94039,,2,43.919116,,Trulls Northbound @ George Reynolds,,1,,0,-78.791855,
94040,94040,,2,43.917123,,Trulls Southbound @ Devondale,,1,,0,-78.791102,
94041,94041,,2,43.914181,,Trulls Southbound @ Nash,,1,,0,-78.789765,
94042,94042,,2,43.9112,,Trulls Southbound @ Durham Highway 2,,1,,0,-78.788622,
94048,94048,,2,43.952296,,Grandview Southbound @ Greenhill,,1,,0,-78.844517,
94049,94049,,2,43.952552,,Conlin Westbound @ Ritson (East side stop),,1,,0,-78.87615,
94050,94050,,2,43.95345187,,Ritson Southbound @ Maine,,1,,0,-78.87719948260465,
94051,94051,,2,43.956148,,Britannia Eastbound @ Ritson,,1,,0,-78.878843,
94052,94052,,2,43.95511,,Britannia Eastbound @ Pindar,,1,,0,-78.88407,
94054,94054,,2,43.78018,,Progress Westbound @ Corporate Drive,,1,,0,-79.2444,
94059,94059,,2,43.89052,,McQuay Southbound @ Rossland,,1,,0,-78.97844,
94060,94060,,2,43.889751,,McQuay Eastbound @ Muir,,1,,0,-78.973695,
94061,94061,,2,43.889924,,McQuay Eastbound @ Jacob,,1,,0,-78.971264,
94062,94062,,2,43.888161,,McQuay Southbound @ Renfield,,1,,0,-78.969356,
94064,94064,,2,43.88422400000001,,McQuay Southbound @ Bonacord,,1,,0,-78.96784,
94066,94066,,2,43.78888,,Morningside Northbound @ Military Trail,,1,,0,-79.19394,
94067,94067,,2,43.785544,,Ellesmere Westbound @ Moringside,,1,,0,-79.19309199999998,
94070,94070,,2,43.88665000000001,,Ritson Southbound @ McNaughton,,1,,0,-78.8479,
94079,94079,,2,43.84532500000001,,Liverpool Northbound @ Finch,,1,,0,-79.094419,
94080,94080,,2,43.848572,,Valley Farm Northbound @ Bloomfield,,1,,0,-79.085389,
94081,94081,,2,43.85717000000001,,Greenmount Eastbound @ Major Oaks,,1,,0,-79.087286,
94082,94082,,1,43.868608,,Brock Road Northbound @ Rossland,,1,,0,-79.08292899999998,
94083,94083,,2,43.867969,,Brock Road Southbound @ Rossland,,1,,0,-79.083181,
94084,94084,,2,43.874896,,Brock Road Northbound @ William Jackson,,1,,0,-79.085571,
94085,94085,,2,43.879619,,Zents Westbound @ Brock Road,,1,,0,-79.088856,
94086,94086,,2,43.857079,,Greenmount Westbound @ Major Oaks,,1,,0,-79.087567,
94088,94088,,2,43.834981,,Monarch Northbound @ Clements,,1,,0,-79.021702,
94089,94089,,2,43.833128,,Clements Eastbound @ Finley,,1,,0,-79.027482,
94090,94090,,2,43.832102,,Clements Westbound @ Westney,,1,,0,-79.032704,
94091,94091,,2,43.89807600000001,,Adelaide Westbound @ Waverley,,1,,0,-78.890673,
94092,94092,,2,43.89786500000001,,Adelaide Eastbound @ Waverley,,1,,0,-78.891092,
94093,94093,,2,43.958574,,Winchester Eastbound @ Cachet,,1,,0,-78.937482,
94094,94094,,1,43.957557,,Winchester Eastbound @ Thickson,,1,,0,-78.942081,
94095,94095,,2,43.844825,,Liverpool Southbound @ Finch,,1,,0,-79.094491,
94096,94096,,2,43.89873200000001,,Adelaide Eastbound @ Stevenson,,1,,0,-78.886166,
94097,94097,,2,43.899898,,Adelaide Eastbound @ Gibbons,,1,,0,-78.881242,
94098,94098,,2,43.90105,,Adelaide Eastbound @ Park,,1,,0,-78.876259,
