X,Y,OBJECTID,ABBREVIATI,NAME,CITY,ACCESSIBLE,SHELTER,COMMENTS,DIR,POS,LON,LAT,NUMBER,STATUS
669340.8886,4861599.1993,1370,541,Thornton Northbound @ Monaghan (Trent University Oshawa),,1,1, , , ,-78.891815,43.88805,541,On Demand
669207.1142,4861965.4303,1371,542,Thornton Northbound @ King,,1,1, , , ,-78.893363,43.8913759,542,On Demand
669101.4062,4862284.8427,1372,543,Thornton Northbound @ Castlegrove,,1,0, , , ,-78.894577,43.894274,543,On Demand
669042.466,4862446.8188,1373,544,Northbound @ 185 Thornton,,1,0, , , ,-78.895259,43.895745,544,On Demand
668976.9512,4862633.5335,1374,545,Thornton Northbound @ Adelaide,,1,0, , , ,-78.896015,43.89744,545,On Demand
668894.2658,4862879.2717,1375,546,Thornton Northbound @ Tatra,,1,0, , , ,-78.896966,43.89967,546,On Demand
668820.6688,4863102.825,1376,547,Thornton Northbound @ Tarn,,1,0, , , ,-78.897811,43.9016983,547,On Demand
668748.6394,4863305.9956,1377,548,Thornton Northbound @ Apple Valley,,1,0, , , ,-78.898643,43.9035428,548,On Demand
668685.0544,4863483.777,1378,549,Thornton Northbound @ Mahina,,1,0, , , ,-78.899378,43.905157,549,On Demand
668565.3237,4863920.5642,1379,550,Thornton Northbound @ Rossland,,1,1, , , ,-78.900729,43.9091144,550,On Demand
668331.5179,4864530.2747,1380,551,Thornton Southbound @ Deer Valley,,1,0, , , ,-78.903447,43.9146538,551,On Demand
668426.5064,4864266.8598,1381,552,Thornton Southbound @ Cartref,,1,0, , , ,-78.902348,43.912262,552,On Demand
668567.612,4863785.7609,1382,553,Thornton Southbound @ Rossland (South side stop),,1,1, , , ,-78.900744,43.907901,553,On Demand
668698.84,4863399.883,1383,554,Thornton Southbound @ Mahina,,1,0, , , ,-78.899233,43.904399,554,On Demand
668742.4775,4863273.4035,1384,555,Thornton Southbound @ Apple Valley,,1,0, , , ,-78.89873,43.903251,555,On Demand
668809.0363,4863073.629,1385,556,Thornton Southbound @ Roundelay,,1,0, , , ,-78.897965,43.9014382,556,On Demand
668874.5884,4862891.4408,1386,557,Thornton Southbound @ Genoa,,1,0, , , ,-78.897207,43.899784,557,On Demand
668956.6694,4862650.466,1387,558,Thornton Southbound @ Adelaide (North side stop),,1,1, , , ,-78.896262,43.897597,558,On Demand
669005.6932,4862505.3423,1388,559,Thornton Southbound @ Adelaide (South side stop),,1,0, , , ,-78.895698,43.89628,559,On Demand
665407.4467,4857707.6536,1389,56,Scadding Eastbound @ Gordon,,1,0, , , ,-78.941958,43.853927,56,On Demand
669108.4151,4862205.3622,1390,560,Thornton Southbound @ Castlegrove,,1,0, , , ,-78.894515,43.8935573,560,On Demand
